Germany,5013574
United Kingdom,3958780
France,3361557
Italy,2422855
Russia,2076396
Spain,1799511
Turkey,1437406
Netherlands,1272011
Poland,979960
Switzerland,947125
Belgium,684864
Sweden,620297
Ireland,598840
Austria,534301
Norway,504276
Denmark,449940
Romania,403395
Czech Republic,360244
Kazakhstan,300538
Portugal,321440
Finland,303945
Greece,267348
Hungary,237070
Ukraine,205742
Slovakia,147031
Bulgaria,117007
Serbia,92549
Croatia,98951
Luxembourg,96613
Lithuania,89192
Azerbaijan,78870
Slovenia,75224
Belarus,71561
Latvia,45535
Estonia,45004
Iceland,35309
Cyprus,38736
Georgia,35353
Albania,28372
Bosnia and Herzegovina,28807
Malta,25750
Armenia,26258
Moldova,19462
North Macedonia,17885
Kosovo,11274
Monaco,9995
Liechtenstein,7362
Montenegro,8562
Andorra,4035
San Marino,2047
