Russia,1526090
Ukraine,233032
France,210004
Spain,192466
Sweden,169334
Germany,138063
Finland,130072
Norway,125009
Poland,120726
Italy,116587
United Kingdom,94356
Romania,92007
Belarus,80200
Kazakhstan,57000
Greece,50949
Bulgaria,42615
Iceland,40000
Hungary,35917
Portugal,35299
Austria,32385
Czech Republic,30452
Serbia,29957
Ireland,26960
Lithuania,25207
Latvia,24940
Croatia,21851
Bosnia and Herzegovina,19772
Slovakia,18933
Estonia,17529
Denmark,16582
Netherlands,16040
Switzerland,15943
Moldova,13068
Belgium,11787
Albania,11100
North Macedonia,9928
Turkey,9173
Slovenia,7827
Montenegro,5362
Kosovo,4210
Azerbaijan,2690
Georgia,1170
Luxembourg,998
Andorra,181
Malta,122
Liechtenstein,62
San Marino,24
Monaco,0.77
Armenia,11484
Cyprus,3572
