Russia,143997393
Turkey,87685426
Germany,84075074
United Kingdom,69551332
France,66650804
Italy,59146260
Spain,47889958
Ukraine,38980376
Poland,38140910
Kazakhstan,20843754
Romania,18908650
Netherlands,18346819
Belgium,11758603
Sweden,10656633
Czech Republic,10609240
Portugal,10411834
Azerbaijan,10397713
Greece,9938844
Hungary,9632287
Austria,9113574
Belarus,8997603
Switzerland,8967408
Bulgaria,6714560
Serbia,6689039
Denmark,6002507
Finland,5623330
Norway,5623071
Slovakia,5474881
Ireland,5308039
Croatia,3848160
Georgia,3806671
Bosnia and Herzegovina,3140096
Moldova,2996106
Armenia,2952364
Lithuania,2830144
Albania,2771508
Slovenia,2117072
Latvia,1853559
North Macedonia,1813791
Kosovo,1674125
Cyprus,1370754
Estonia,1344232
Luxembourg,680454
Montenegro,632729
Malta,545405
Iceland,398266
Andorra,82904
Liechtenstein,40128
Monaco,38341
San Marino,33572
