"Alaska","1","665,384.04","1,723,337","1","570,640.95","1,477,953","85.76%","1","94,743.10","245,384","14.24%"
"Texas","2","268,596.46","695,662","2","261,231.71","676,587","97.26%","8","7,364.75","19,075","2.74%"
"California","3","163,694.74","423,967","3","155,779.22","403,466","95.16%","6","7,915.52","20,501","4.84%"
"Montana","4","147,039.71","380,831","4","145,545.80","376,962","98.98%","26","1,493.91","3,869","1.02%"
"New Mexico","5","121,590.30","314,917","5","121,298.15","314,161","99.76%","49","292.15","757","0.24%"
"Arizona","6","113,990.30","295,234","6","113,594.08","294,207","99.65%","48","396.22","1,026","0.35%"
"Nevada","7","110,571.82","286,380","7","109,781.18","284,332","99.28%","36","790.65","2,048","0.72%"
"Colorado","8","104,093.67","269,601","8","103,641.89","268,431","99.57%","44","451.78","1,170","0.43%"
"Oregon","9","98,378.54","254,799","10","95,988.01","248,608","97.57%","20","2,390.53","6,191","2.43%"
"Wyoming","10","97,813.01","253,335","9","97,093.14","251,470","99.26%","37","719.87","1,864","0.74%"
"Michigan","11","96,713.51","250,487","22","56,538.90","146,435","58.46%","2","40,174.61","104,052","41.54%"
"Minnesota","12","86,935.83","225,163","14","79,626.74","206,232","91.59%","9","7,309.09","18,930","8.41%"
"Utah","13","84,896.88","219,882","12","82,169.62","212,818","96.79%","17","2,727.26","7,064","3.21%"
"Idaho","14","83,568.95","216,443","11","82,643.12","214,045","98.89%","33","925.83","2,398","1.11%"
"Kansas","15","82,278.36","213,100","13","81,758.72","211,754","99.37%","42","519.64","1,346","0.63%"
"Nebraska","16","77,347.81","200,330","15","76,824.17","198,974","99.32%","41","523.64","1,356","0.68%"
"South Dakota","17","77,115.68","199,729","16","75,811.00","196,350","98.31%","29","1,304.68","3,379","1.69%"
"Washington","18","71,297.95","184,661","20","66,455.52","172,119","93.21%","11","4,842.43","12,542","6.79%"
"North Dakota","19","70,698.32","183,108","17","69,000.80","178,711","97.60%","24","1,697.52","4,397","2.40%"
"Oklahoma","20","69,898.87","181,037","19","68,594.92","177,660","98.13%","30","1,303.95","3,377","1.87%"
"Missouri","21","69,706.99","180,540","18","68,741.52","178,040","98.61%","32","965.47","2,501","1.39%"
"Florida","22","65,757.70","170,312","26","53,624.76","138,887","81.55%","3","12,132.94","31,424","18.45%"
"Wisconsin","23","65,496.38","169,635","25","54,157.80","140,268","82.69%","4","11,338.57","29,367","17.31%"
"Georgia","24","59,425.15","153,910","21","57,513.49","148,959","96.78%","22","1,911.66","4,951","3.22%"
"Illinois","25","57,913.55","149,995","24","55,518.93","143,793","95.87%","19","2,394.62","6,202","4.13%"
"Iowa","26","56,272.81","145,746","23","55,857.13","144,669","99.26%","45","415.68","1,077","0.74%"
"New York","27","54,554.98","141,297","30","47,126.40","122,057","86.38%","7","7,428.58","19,240","13.62%"
"North Carolina","28","53,819.16","139,391","29","48,617.91","125,920","90.34%","10","5,201.25","13,471","9.66%"
"Arkansas","29","53,178.55","137,732","27","52,035.48","134,771","97.85%","31","1,143.07","2,961","2.15%"
"Alabama","30","52,420.07","135,767","28","50,645.33","131,171","96.61%","23","1,774.74","4,597","3.39%"
"Louisiana","31","52,378.13","135,659","33","43,203.90","111,898","82.48%","5","9,174.23","23,761","17.52%"
"Mississippi","32","48,431.78","125,438","31","46,923.27","121,531","96.89%","25","1,508.51","3,907","3.11%"
"Pennsylvania","33","46,054.34","119,280","32","44,742.70","115,883","97.15%","28","1,311.64","3,397","2.85%"
"Ohio","34","44,825.58","116,098","35","40,860.69","105,829","91.15%","14","3,964.89","10,269","8.85%"
"Virginia","35","42,774.93","110,787","36","39,490.09","102,279","92.32%","15","3,284.84","8,508","7.68%"
"Tennessee","36","42,144.25","109,153","34","41,234.90","106,798","97.84%","35","909.36","2,355","2.16%"
"Kentucky","37","40,407.80","104,656","37","39,486.34","102,269","97.72%","34","921.46","2,387","2.28%"
"Indiana","38","36,419.55","94,326","38","35,826.11","92,789","98.37%","39","593.44","1,537","1.63%"
"Maine","39","35,379.74","91,633","39","30,842.92","79,883","87.18%","12","4,536.82","11,750","12.82%"
"South Carolina","40","32,020.49","82,933","40","30,060.70","77,857","93.88%","21","1,959.79","5,076","6.12%"
"West Virginia","41","24,230.04","62,756","41","24,038.21","62,259","99.21%","50","191.83","497","0.79%"
"Maryland","42","12,405.93","32,131","42","9,707.24","25,142","78.25%","18","2,698.69","6,990","21.75%"
"Hawaii","43","10,931.72","28,313","47","6,422.63","16,635","58.75%","13","4,509.09","11,678","41.25%"
"Massachusetts","44","10,554.39","27,336","45","7,800.06","20,202","73.90%","16","2,754.33","7,134","26.10%"
"Vermont","45","9,616.36","24,906","43","9,216.66","23,871","95.84%","46","399.71","1,035","4.16%"
"New Hampshire","46","9,349.16","24,214","44","8,952.65","23,187","95.76%","47","396.51","1,027","4.24%"
"New Jersey","47","8,722.58","22,591","46","7,354.22","19,047","84.31%","27","1,368.36","3,544","15.69%"
"Connecticut","48","5,543.41","14,357","48","4,842.36","12,542","87.35%","38","701.06","1,816","12.65%"
"Delaware","49","2,488.72","6,446","49","1,948.54","5,047","78.29%","40","540.18","1,399","21.71%"
"Rhode Island","50","1,544.89","4,001","50","1,033.81","2,678","66.92%","43","511.07","1,324","33.08%"
"District of Columbia","—","68.34","177","—","61.05","158","89.33%","—","7.29","19","10.67%"
"Puerto Rico","—","5,324.84","13,791","—","3,423.78","8,868","64.30%","—","1,901.07","4,924","35.70%"
"Northern Mariana Islands","—","1,975.57","5,117","—","182.33","472","9.23%","—","1,793.24","4,644","90.77%"
"United States Virgin Islands","—","732.93","1,898","—","134.32","348","18.33%","—","598.61","1,550","81.67%"
"American Samoa","—","581.05","1,505","—","76.46","198","13.16%","—","504.60","1,307","86.84%"
"Guam","—","570.62","1,478","—","209.80","543","36.77%","—","360.82","935","63.23%"
"Minor Outlying Islands[3][a]","—","16.00","41","—","16.00","41","—","—","—","—","—"
"48 contiguous states","Total","3,120,426.47","8,081,867","—","2,954,841.42","7,653,004","94.69%","—","165,584.6","428,862","5.31%"
"50 states and District of Columbia","Total","3,796,742.23","9,833,517","—","3,531,905.43","9,147,593","93.02%","—","264,836.79","685,924","6.98%"
"All 50 states, District of Columbia, and U.S. territories","Total","3,805,943.26","9,857,348","—","3,535,948.12","9,158,064","92.91%","—","269,995.13","699,284","7.09%"
