California,39431263
Texas,31290831
Florida,23372215
New York,19867248
Pennsylvania,13078751
Illinois,12710158
Ohio,11883304
Georgia,11180878
North Carolina,11046024
Michigan,10140459
New Jersey,9500851
Virginia,8868896
Washington,7958180
Arizona,7582384
Tennessee,7227750
Massachusetts,7136171
Indiana,6924275
Maryland,6263220
Missouri,6245466
Wisconsin,5960975
Colorado,5957493
Minnesota,5793151
South Carolina,5478831
Alabama,5157699
Louisiana,4597740
Kentucky,4588372
Oregon,4272371
Oklahoma,4095393
Connecticut,3675069
Utah,3503613
Nevada,3267467
Iowa,3241488
Puerto Rico,3203295
Arkansas,3088354
Kansas,2970606
Mississippi,2943045
New Mexico,2130256
Nebraska,2005465
Idaho,2001619
West Virginia,1712278
Hawaii,1446146
New Hampshire,1409032
Maine,1405012
Montana,1137233
Rhode Island,1112308
Delaware,1051917
South Dakota,924669
North Dakota,796568
Alaska,740133
District of Columbia,702250
Vermont,648493
Wyoming,587618
Guam,178214
U.S. Virgin Islands,91525
American Samoa,50027
Northern Mariana Islands,48511
